,Filename,Num_qa
0,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT01871805_esmoopen-2018-000364/page_7.txt,5
1,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02731001_s13063-016-1679-4/page_10.txt,2
2,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_00_v2_sus/NCT02990338_FSG_Catalogue_2019-1539085014100/page_3.txt,14
3,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02438722_JCO.20.01149/page_14.txt,7
4,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT04853017_41591_2023_Article_2760/page_8.txt,8
5,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02576665_main/page_23.txt,7
6,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03107663_jnm121.262485/page_15.txt,5
7,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_00_v2_sus/NCT03548207_flowCore/page_605.txt,15
8,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT01576796_13014_2018_Article_1147/page_4.txt,10
9,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_00_v2_sus/NCT03548207_flowCore/page_301.txt,13
10,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_01_v2/NCT02215967_T cells expressing an anti–B-cell maturation antigen chimeric antigen receptor cause remissions of multiple myeloma - PMC/page_8.txt,8
11,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02029729_ott-10-4239/page_5.txt,11
12,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT00948961_nihms-981204/page_27.txt,9
13,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_01_v2/NCT02215967_T cells expressing an anti–B-cell maturation antigen chimeric antigen receptor cause remissions of multiple myeloma - PMC/page_23.txt,12
14,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03107663_jnm121.262485/page_1.txt,10
15,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03621982_jitc-2020-000860/page_2.txt,14
16,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_01_v2/NCT02782351_1-s2.0-S0006497122004414-main/page_12.txt,10
17,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT00533949_nihms745795/page_9.txt,15
18,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_00_v2/NCT01722149_Gulati_aberrant_Lck_signal_via_CD28_am.ass.o.cancer/page_21.txt,8
19,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT04093167_s41591-023-02598-9/page_15.txt,4
20,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02911259_ezy361/page_2.txt,10
21,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02243748_jpm.2017.0143/page_14.txt,10
22,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03134872_fonc-12-746526/page_13.txt,1
23,CT-Documents-Hub/50-CQAGen/Pending/CART-Abstracts/20240315_02/704_3863_2021-11-23/704_3863_2021-11-23.txt,1
24,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_01_v2/NCT04088890_bloodBLD2020009432-suppl1/page_5.txt,10
25,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT00751660_2023-JAMC-Media-Kit_FR/page_1.txt,15
26,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT05487391_s13045-023-01445-1/page_22.txt,6
27,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT00115518_1471-2407-6-122/page_18.txt,8
28,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03948100_10.1177_15347354211019111/page_9.txt,14
29,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT00840749_atm-03-11-149/page_0.txt,1
30,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT01351415_jamaoncol-e183486-s001/page_102.txt,3
31,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02009449_nihms-1713343/page_25.txt,3
32,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03982459_jamanetwopen-e209750-s001/page_28.txt,5
33,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02243748_jpm.2017.0143/page_2.txt,13
34,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02998528_CAS-115-540/page_5.txt,14
35,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT05104281_TCA-14-1355/page_10.txt,1
36,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_00_v2/NCT03159819_41591_2022_Article_1800/page_16.txt,8
37,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_01_v2_sus/NCT02650414_41591_2021_1326_MOESM1_ESM/page_163.txt,6
38,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_01_v2_sus/NCT02650414_41591_2021_1326_MOESM1_ESM/page_49.txt,5
39,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_00_v2/NCT02706392_fmed-10-1121020/page_11.txt,14
40,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_01_v2_sus/NCT02650414_41591_2021_1326_MOESM1_ESM/page_192.txt,13
41,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_00_v2_sus/NCT03548207_flowCore/page_158.txt,15
42,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03849469_125514s071s090lbl/page_54.txt,15
43,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02864992_oncolo_25_12_n_a9/page_7.txt,15
44,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02115464_jamaoncol-e212328-s001/page_107.txt,13
45,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_00_v2_sus/NCT03548207_flowCore/page_512.txt,4
46,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_00_v2_sus/NCT03548207_flowCore/page_591.txt,15
47,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03150875_CAC2-42-1314/page_16.txt,15
48,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT04424641_LSA-2022-01481/page_17.txt,14
49,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03416231_medi-98-e16065/page_3.txt,11
50,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT01574222_nihms873575/page_14.txt,15
51,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT04424641_LSA-2022-01481/page_31.txt,12
52,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03296163_40259_2021_Article_483/page_15.txt,11
53,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT01605916_hyx144/page_7.txt,8
54,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_00_v2/NCT01044069_advancesADV2020003885/page_12.txt,14
55,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03157128_nihms-1624218/page_14.txt,6
56,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02296125_hyy179/page_8.txt,10
57,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03798743_12885_2022_Article_10045/page_23.txt,10
58,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT02831959_main/page_11.txt,5
59,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03958097_fimmu-13-1074906/page_9.txt,12
60,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT01772732_cmar-11-4449/page_20.txt,12
61,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT00751660_2023-JAMC-Media-Kit_FR/page_9.txt,6
62,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT01351415_jamaoncol-e183486-s001/page_107.txt,4
63,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT01011075_1471-2407-12-449/page_10.txt,13
64,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_00_v2/NCT03361748_jitc-2020-000734/page_35.txt,15
65,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT03215810_nihms-1728269/page_38.txt,15
66,CT-Documents-Hub/50-CQAGen/Pending/NSCLC-Paper/20240315_00_v2/NCT01351415_jamaoncol-e183486-s001/page_73.txt,1
67,CT-Documents-Hub/50-CQAGen/Pending/CART-Paper/20240307_00_v2_sus/NCT03726515_43018_2023_709_MOESM1_ESM/page_107.txt,7
